entity_type,is_in_zone,loitering_duration,persons_in_zone,speed_category,is_moving_toward_zone,is_night_mode,posture,is_erratic,hour_of_day,direction_toward_zone,crowd_density_gradient,has_weapon,time_since_last,has_readable_plate,is_unauthorized_plate,distance_to_boundary,acceleration_magnitude,threat_score
1,1,432.0209384323023,7,0,0,0,0,1,21,0.016748562349598067,4.737375342177245,0,1.384013414109817,1,1,0.0,2.347748131768411,100.0
0,1,302.65458330741785,4,2,0,0,0,0,15,0.10677193930320375,0.3363010301556528,0,29.204680663351663,0,0,0.0,3.714714629863317,89.2
1,0,0.0,0,1,0,0,0,1,3,0.09392149719483195,0.0,0,53.553498684849586,1,0,0.08862388927447579,0.9755676516724014,28.0
1,1,55.58671018817445,4,0,0,0,0,1,3,0.04244172935132218,3.413767357270298,0,33.035910527734934,0,0,0.0,2.9722034141947233,76.7
0,1,179.18272459900786,20,1,0,1,1,0,18,0.14846064069906986,-1.0954921236334343,0,1.315299073872862,0,0,0.0,1.1577078382357247,100.0
0,0,0.0,0,0,0,0,0,0,14,0.005639667977929308,0.0,0,40.45072472415781,0,0,0.19316732765969974,0.6210011337493703,4.8
0,1,269.62884228892364,2,0,0,0,0,1,4,0.12475933703928668,-1.9681753137458193,0,36.73293800037943,0,0,0.0,2.860907361834647,78.4
1,1,584.6521381705948,14,2,0,0,0,1,15,0.07574854654676574,1.3100771006741727,0,15.53753321736459,0,0,0.0,1.9351643732450163,100.0
0,1,479.3076911841943,17,2,0,1,0,0,23,0.06477339370739255,3.9240399511056934,1,45.529104833247644,0,0,0.0,1.5293505484971899,100.0
0,1,314.1752951247795,20,1,0,0,4,1,9,0.14064032478762764,-1.9474085163544985,0,54.72622801182132,0,0,0.0,0.08962363287881137,100.0
0,1,120.76100552405764,0,0,0,0,0,1,11,0.10543576925983383,0.0,0,50.766504484554716,0,0,0.0,1.3760759043637216,79.2
0,1,369.67104511352295,14,1,0,1,0,0,11,0.06927254688455695,0.7374124007242293,0,36.26533886562196,0,0,0.0,0.3911212609497271,80.3
0,1,381.02892130471133,8,1,0,1,0,1,11,0.045343560945706074,-1.9027973729943983,0,47.98966230653446,0,0,0.0,2.087542579169914,100.0
0,0,0.0,0,0,1,1,2,1,3,0.6406703917408982,0.0,0,0.7291125191031544,0,0,0.5872497491024602,2.7411638864915724,100.0
0,1,596.4773208205149,2,1,0,0,0,0,13,0.06393176510414511,0.19414633777151602,0,32.38938624525453,0,0,0.0,0.7634127650882562,68.5
0,1,241.99186558851594,12,1,0,0,0,1,13,0.21932638048425965,3.7319010264834915,1,39.46861044480392,0,0,0.0,0.5448398535715209,100.0
0,0,0.0,0,2,0,0,3,0,20,0.04385474986575941,0.0,0,32.09953926094833,0,0,0.8634002696425037,4.260038937161629,0.0
0,1,263.12022314322485,7,0,0,1,0,0,18,0.2073292946442013,-0.8662606722829269,0,50.999208962868906,0,0,0.0,0.20408994807345837,77.5
1,0,0.0,0,1,1,0,0,1,16,0.8219040116746029,0.0,0,2.352780153237053,1,0,0.5182177055084922,0.08884321929113714,59.3
1,0,0.0,0,1,1,1,0,1,18,0.3777941874236136,0.0,0,18.792059602856867,0,0,0.16557428244486017,4.050325937064313,76.3
0,1,335.79794666693846,12,2,0,0,0,1,19,0.009437698178942383,1.4567773483562187,0,16.320678536177446,0,0,0.0,1.311204766071579,100.0
0,1,569.8663937189684,18,1,0,1,1,1,3,0.02072473620053522,-1.530894337297958,0,6.740009520009251,0,0,0.0,2.342248147428201,100.0
0,1,471.797711453696,12,2,0,1,1,1,23,0.12405089060660052,-0.6926293170507283,0,31.15957848641289,0,0,0.0,1.3491639424505206,100.0
1,1,513.4121446258605,14,2,0,0,0,1,21,0.09233015992038629,1.488888415216822,0,50.15867369649856,1,0,0.0,3.291061604147777,100.0
0,0,0.0,0,0,0,1,0,0,0,0.029864396161687484,0.0,0,56.40753838696758,0,0,0.8751510856359733,0.34489830702966856,0.3
0,1,395.9222063751677,8,1,0,0,4,1,10,0.00012066750505257406,4.735426237349857,0,26.28986532361067,0,0,0.0,4.2882616060444265,100.0
1,1,141.5110672157858,15,2,0,0,0,0,10,0.21338518326683056,4.140209246354094,0,20.5783073894415,1,0,0.0,0.14678098255117777,97.7
0,0,0.0,0,2,1,1,0,1,10,0.1480232603159061,0.0,0,32.995333094261596,0,0,0.7203983601522304,2.9586206960554144,49.2
0,0,0.0,0,1,1,0,4,0,1,0.20698055938072607,0.0,0,23.450725441310638,0,0,0.12438211597559568,0.03715077241871949,35.2
1,0,0.0,0,2,1,1,0,1,9,0.9379340754643949,0.0,0,23.440663178151052,0,0,0.1545540651561998,1.5626972604832288,99.7
1,0,0.0,0,1,1,1,0,0,13,0.928556180776599,0.0,0,0.5698819112814202,1,0,0.5452035601682282,0.1174584697414104,38.7
0,1,171.2305010688259,12,0,0,1,3,0,12,0.0648063734147542,0.7727429443873874,0,0.6346688476717777,0,0,0.0,0.6143634241408512,54.4
1,1,569.7223424113448,15,2,0,1,0,0,16,0.179825720718878,2.7492107540419104,0,36.51550853288479,1,0,0.0,2.8882055802744206,100.0
0,1,454.15799038573147,8,1,0,1,0,0,4,0.12113414167340911,3.946890406531617,1,47.78658228638666,0,0,0.0,0.1850682291971232,100.0
1,0,0.0,0,1,1,1,0,1,19,0.10945600059002814,0.0,0,30.54059055069797,1,0,0.06378601718505655,1.5786047366693157,47.1
0,0,0.0,0,2,0,1,0,1,1,0.07356449254536812,0.0,0,9.090536716036986,0,0,0.5079318960506314,0.6285438437417434,18.2
0,0,0.0,0,0,1,1,0,0,4,0.5923077624257437,0.0,0,14.099058920774713,0,0,0.2806915405804694,0.7997844232233746,15.5
0,0,0.0,0,0,1,1,0,1,2,0.9497178437521879,0.0,0,57.24279614695439,0,0,0.20985924511346404,1.6431185814837717,42.7
1,0,0.0,0,0,1,1,0,1,5,0.8298633049287136,0.0,0,45.60279422186466,1,0,0.9449387646751188,0.3928142725790275,38.1
1,1,6.6262664964698015,6,2,0,1,0,1,15,0.1031771661015426,-0.580611870094252,0,35.837468125185296,1,0,0.0,0.4666020792286625,96.5
0,0,0.0,0,1,1,1,0,0,10,0.13863961212498194,0.0,0,55.61129047454037,0,0,0.31403098337056623,0.3041864137161139,21.7
1,0,0.0,0,1,0,1,0,1,9,0.10624830911259192,0.0,0,42.45926226621927,1,0,0.5589940915032956,4.167708775028754,30.0
1,0,0.0,0,0,0,0,0,1,23,0.22397372875138577,0.0,0,48.274560533613574,1,0,0.5645400469211009,0.32570510021179383,18.1
0,1,88.57638467951625,1,2,0,1,1,0,19,0.07230888313032788,1.3042374112735975,0,16.084783465575455,0,0,0.0,3.9910427163073234,100.0
1,0,0.0,0,2,0,0,0,1,22,0.15203547909094678,0.0,0,30.317845508374578,1,0,0.5357079274605934,3.4013527580589162,70.4
1,0,0.0,0,2,0,0,0,1,18,0.21512694121455914,0.0,0,12.744250444964669,1,0,0.5774107766192542,3.995108388496822,69.2
0,0,0.0,0,0,0,1,3,0,21,0.1503665455720249,0.0,0,17.196147344615273,0,0,0.0970426332972803,0.6332824332571362,0.0
0,1,362.11670252121695,8,0,0,0,0,1,21,0.10041681895424046,3.8433310186147676,0,16.596303422531758,0,0,0.0,3.964832550064397,100.0
0,0,0.0,0,0,1,0,0,1,9,0.11080351255468143,0.0,0,31.073695720235058,0,0,0.5157105908919664,2.2919977266613016,36.1
1,1,306.1844250942322,4,2,0,0,0,0,3,0.19857467455030783,-0.291344703658428,0,46.73102284429523,1,0,0.0,1.9157278683734686,86.9
1,1,180.11207978887938,4,0,0,0,0,0,22,0.220885311585669,0.34116658608837547,0,29.654851999686034,1,0,0.0,0.0048053744348039995,69.8
0,0,0.0,0,1,1,1,0,1,4,0.2593825637596787,0.0,0,17.418112528299577,0,0,0.9295484722997968,0.433873520265778,26.5
1,1,174.4268363373577,10,1,0,1,0,0,3,0.0010775940433797593,2.0297840592642853,0,39.09805589300398,1,0,0.0,0.7481285566829468,67.8
0,0,0.0,0,0,0,1,0,1,5,0.0987472174739801,0.0,0,27.56676357082216,0,0,0.7494319893781988,1.1845541996572624,15.9
0,1,512.714531382624,16,1,0,1,0,0,16,0.0691154764021902,1.4158797386366975,0,35.5659483651083,0,0,0.0,0.8263060845461081,82.5
1,1,112.66021794022664,5,2,0,0,0,1,17,0.17547262722052856,2.1049452102681077,0,16.481895489656463,1,0,0.0,1.4672848305047963,100.0
0,1,560.2935115778453,19,0,0,1,2,0,9,0.23132358142787626,-0.9232133514610337,0,12.267467403422835,0,0,0.0,0.2959710263617313,100.0
0,0,0.0,0,1,0,1,1,1,19,0.20779818102396244,0.0,0,13.353038420238132,0,0,0.4549713178301407,1.9100911727976273,41.1
1,1,270.5085189339955,10,1,0,1,0,0,18,0.15387611704093393,0.6275292001453594,0,14.242143620420514,1,0,0.0,0.7353259465758188,79.8
1,0,0.0,0,2,1,1,0,0,8,0.6028273101727458,0.0,0,1.03254048513159,1,0,0.280982331472725,4.303233465997738,70.3
0,0,0.0,0,2,0,0,0,1,6,0.20936755396137227,0.0,0,40.89744760393741,0,0,0.5998493997479456,3.3312092378679927,18.0
1,1,575.7452417515541,4,0,0,1,0,1,21,0.08266616562356743,-1.619514827465918,0,11.547126237044212,1,0,0.0,1.6918372140867304,91.2
0,0,0.0,0,0,1,0,0,1,23,0.17978859737861452,0.0,0,17.895862294750373,0,0,0.7718224966191389,2.93594400024963,44.7
0,1,536.0687776730656,5,1,0,1,0,1,6,0.009182863601370578,-0.0933123366063846,0,58.44903451536298,0,0,0.0,0.35339179395935055,92.1
0,1,55.910722703755276,10,1,0,1,4,0,7,0.10300408397240168,4.680360651992739,0,11.961100493412706,0,0,0.0,0.5224175935640161,78.8
0,0,0.0,0,2,0,0,0,0,14,0.21270747588105782,0.0,0,21.856603134358075,0,0,0.608998639093404,3.9729824375081573,2.1
0,1,534.5165906466267,12,1,0,1,0,1,21,0.014161073540908287,-0.6633619473536232,0,10.568282741249469,0,0,0.0,3.8905173680383967,99.0
0,0,0.0,0,2,1,0,0,1,16,0.5295635521440449,0.0,1,57.60611305748128,0,0,0.1287078684031492,0.9354641570321968,99.9
0,1,127.38811479550212,16,0,0,1,1,1,3,0.09401953624656392,2.2676463575219232,0,59.750214142844186,0,0,0.0,0.24720674408369975,100.0
1,0,0.0,0,2,0,0,0,1,2,0.21762696687470823,0.0,0,54.66798526977179,1,0,0.4036805485250652,1.5881537075063021,47.3
